Indicação Fiscal;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
61.038.017;26.0.0037.0184; 15/01/2015 ; 15/03/2015 ; 02/03/2017 ;PARAÍBA;2.196;GUAÍRA;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;0;0;0;332.903;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";598,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
63.031.014;27.0.0016.0340; 15/01/2015 ; 15/03/2015 ; 30/01/2020 ;REPÚBLICA ARGENTINA;2.537;PORTÃO;EE-3 - EIXO ESTRUTURAL SUL;Unidade Regional Portao;0;0;0;333.134;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";544,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
63.077.004;27.0.0043.0042; 15/01/2015 ; 15/03/2015 ;;PRESIDENTE KENNEDY;3.875;PORTÃO;EE-3 - EIXO ESTRUTURAL SUL - INCENTIVO;Unidade Regional Portao;0;0;0;333.241;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.005,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
65.078.009;27.2.0075.0382; 15/01/2015 ; 15/03/2015 ; 30/08/2016 ;ANTONIO DE LIMA CASTRO;337;PORTÃO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;0;0;0;332.974;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";516,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
82.533.001;65.6.0007.0246; 15/01/2015 ; 15/03/2015 ;;DOUTOR JOÃO FLEURY DA ROCHA;219;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;1;2;0;333.181;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";279,00;104,47;0;0,00;104,47;0,00;0;0;CRISTIANE SZWEC GONÇALVES;PR0000062071D;CRISTIANE SZWEC GONÇALVES;PR0000062071D;;;;
83.622.017;66.3.0001.0080; 15/01/2015 ; 15/03/2015 ; 21/01/2016 ;EDWIRGES GROCHOSKA CICHON;249;PINHEIRINHO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Pinheirinho;2;3;0;333.915;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";480,00;357,23;0;0,00;357,23;0,00;0;0;RICARDO BORGES FERREIRA;RS0000147967D;RICARDO BORGES FERREIRA;RS0000147967D;;;;
84.104.028;56.6.0051.0470; 15/01/2015 ; 15/03/2015 ; 23/03/2016 ;CASCAVEL;1.023;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;0;1;0;333.461;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";540,00;0,00;0;0,00;70,00;0,00;0;0;;;;;;;;
84.443.028;64.7.0048.0116; 15/01/2015 ; 15/03/2015 ;;MAJOR CASEMIRO IGNÁCIO MAZUR;114;ALTO BOQUEIRÃO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Boqueirao;0;1;0;333.476;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";200,00;0,00;0;0,00;36,00;0,00;0;0;;;;;;;;
87.804.007;75.3.0024.0226; 15/01/2015 ; 15/03/2015 ; 07/12/2015 ;VALENTIN DEDA;1.530;CIDADE INDUSTRIAL;ZUM - ZONA DE USO MISTO 1;Unidade Regional CIC;1;0;1;333.949;COMÉRCIO E SERVIÇO DE BAIRRO;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";600,00;300,00;0;0,00;300,00;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
94.128.001;34.1.0019.0254; 15/01/2015 ; 15/03/2015 ; 08/04/2016 ;VICENTE GERONASSO;1.250;BOA VISTA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;0;333.443;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";7.860,00;251,94;0;0,00;251,94;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;MARLON ORESTES DOTTO;PR0000133334D;CANNES - CONSTRUTORA DE OBRAS LTDA;;;
15.048.012;30.0.0009.0248; 15/04/2015 ; 14/06/2015 ; 29/05/2015 ;MAJOR HEITOR GUIMARÃES;1.926;CAMPINA DO SIQUEIRA;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Santa Felicidade;0;2;1;334.720;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";492,00;0,00;0;0,00;224,82;0,00;0;0;;;;;;;;
19.111.288;44.4.0047.0586; 15/04/2015 ; 14/06/2015 ; 22/02/2016 ;JOSÉ IZIDORO BIAZETTO;1.000;CAMPO COMPRIDO;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Santa Felicidade;0;0;1;334.719;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";33.260,43;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
43.019.014;28.0.0007.0030; 15/04/2015 ; 14/07/2015 ;;IGUAÇÚ;4.003;VILA IZABEL;ECO - EIXO CONECTOR OESTE 4;Unidade Regional Portao;0;1;0;334.716;HABITAÇÃO UNIFAMILIAR;******;REFORMA SIMPLIFICADA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";263,00;0,00;0;0,00;155,00;155,00;0;0;;;;;;;;
45.001.029;29.0.0059.0462; 15/04/2015 ; 14/06/2015 ;;SETE DE SETEMBRO;6.728;SEMINÁRIO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Portao;0;1;0;334.723;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";401,50;0,00;0;0,00;80,00;0,00;0;0;;;;;;;;
61.128.029;40.0.0021.0200; 15/04/2015 ; 14/06/2015 ;;ANTERO DE QUENTAL;346;LINDÓIA;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Pinheirinho;0;1;0;334.704;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";576,00;0,00;0;0,00;34,00;0,00;0;0;;;;;;;;
64.125.015;23.0.0124.0162; 15/04/2015 ; 14/07/2015 ; 06/04/2016 ;MUSTAPHA KAIEL;158;GUABIROTUBA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;1;1;0;334.721;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";355,10;216,38;0;0,00;216,38;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
66.003.039;22.1.0118.0066; 15/04/2015 ; 14/07/2015 ; 11/04/2019 ;FRANCISCO MARAVALHAS;114;JARDIM DAS AMÉRICAS;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;2;3;2;334.728;"COMÉRCIO E SERVIÇO VICINAL; HABITAÇÃO UNIFAMILIAR";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";477,00;587,60;0;0,00;587,60;0,00;0;1;JOSÉ CARLOS GARCIA LAPORTA;A0180602;JOSÉ CARLOS GARCIA LAPORTA;A0180602;;;;
66.148.020;23.0.0054.0282; 15/04/2015 ; 14/06/2015 ;;DO ERVATEIRO;80;GUABIROTUBA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;0;1;0;334.730;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";252,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
73.005.026;32.2.0054.0098; 15/04/2015 ; 14/07/2015 ; 27/10/2016 ;JORGE CURY BRAHIM;525;PILARZINHO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;5;0;334.732;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";660,00;602,11;0;0,00;602,11;0,00;0;0;JANAYNA MARA DIAS BINOTTO;PR0000098504D;JANAYNA MARA DIAS BINOTTO;PR0000098504D;;;;
81.401.297;66.2.0072.0352; 15/04/2015 ; 14/07/2015 ; 26/09/2016 ;JOSÉ MANOEL VOLUZ;1.080;PINHEIRINHO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Pinheirinho;2;17;0;334.714;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.111,56;1.464,66;0;0,00;1.464,66;0,00;0;;MAURO JOSE NETTO;;FRANCISCO JOSE FRUET FILHO;PR0000009667D;;;;
81.482.002;66.1.0074.0454; 15/04/2015 ; 14/07/2015 ; 25/11/2019 ;WILSON STADLER;68;PINHEIRINHO;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Pinheirinho;2;1;0;334.708;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";38.304,00;257,96;0;0,00;257,96;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
82.175.209;57.0.0068.0432; 15/04/2015 ; 14/07/2015 ;;ANTONIO REBELATTO;288;XAXIM;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;4;17;9;334.709;"COMÉRCIO E SERVIÇO SETORIAL; HABITAÇÃO COLETIVA";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.313,11;5.198,93;0;0,00;5.198,93;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;ALBERTO PEDRO GUERREIRO;SP0000165121D;;;;
82.176.497;57.4.0112.0630; 15/04/2015 ; 14/07/2015 ; 05/05/2015 ;CAROLINA DEROSSO;245;XAXIM;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Boqueirao;3;2;0;334.710;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";466,51;511,84;0;0,00;336,27;0,00;0;0;JOAO JACIR MOLLETA;;JOAO JACIR MOLLETA;;;;;
82.411.062;57.2.0079.0382; 15/04/2015 ; 14/07/2015 ; 21/05/2018 ;TENENTE ANTONIO PUPO;612;XAXIM;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;;334.712;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";390,00;399,29;0;0,00;239,05;0,00;;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
84.837.020;65.3.0132.0158; 15/04/2015 ; 14/07/2015 ;;PAULO MASS;819;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;1;0;334.718;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";369,60;151,10;0;0,00;151,10;0,00;0;0;CRISTIANE SZWEC GONÇALVES;PR0000062071D;CRISTIANE SZWEC GONÇALVES;PR0000062071D;;;;
87.469.033;71.6.0005.0326; 15/04/2015 ; 14/07/2015 ; 16/09/2015 ;JULIA FERREIRA DO AMARAL STAMM;368;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;334.697;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";164,88;80,00;0;0,00;80,00;0,00;0;0;ANDERSON VIEIRA DE SOUZA;PR0000137515D;ANDERSON VIEIRA DE SOUZA;PR0000137515D;;;;
87.534.054;71.7.0012.0184; 15/04/2015 ; 14/07/2015 ; 25/09/2015 ;JOSÉ BERTOLDI;348;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;2;0;334.711;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;133,10;0;0,00;133,10;0,00;0;0;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;;;;
87.538.021;71.7.0016.0028; 15/04/2015 ; 14/07/2015 ; 27/05/2015 ;RUY FRANCISCO PEDRA;177;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;334.699;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";144,00;71,00;0;0,00;71,00;0,00;0;0;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;;;;
87.666.038;71.6.0128.0374; 15/04/2015 ; 14/07/2015 ; 30/06/2015 ;ANGÉLICO TOSIN;282;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;334.705;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";144,00;71,00;0;0,00;71,00;0,00;0;0;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;;;;
87.715.043;71.0.0020.0110; 15/04/2015 ; 14/07/2015 ; 25/06/2015 ;MELÂNIA ZENI VISINONI;749;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;334.702;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";225,00;88,94;0;0,00;88,94;0,00;0;0;VIVIAN LUCIA ASINELLI MARTYNETZ;PR0000017457D;VIVIAN LUCIA ASINELLI MARTYNETZ;PR0000017457D;;;;
89.095.062;77.0.0048.0104; 15/04/2015 ; 14/07/2015 ;;PAULO ROBERTO REGO BARROS BISCAIA;536;CIDADE INDUSTRIAL;ZUM - ZONA DE USO MISTO 1;Unidade Regional CIC;2;1;0;334.729;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";136,00;118,30;0;0,00;118,30;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
89.760.017;76.4.0037.0194; 15/04/2015 ; 14/07/2015 ; 17/03/2016 ;TENENTE MARTINHO D OLIVEIRA;46;CIDADE INDUSTRIAL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;1;0;334.727;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";144,00;171,25;0;0,00;171,25;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
89.805.002;76.4.0082.0038; 15/04/2015 ; 14/07/2015 ; 17/08/2015 ;PROFA IVETTE ROCHA KRÜGER;728;CIDADE INDUSTRIAL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;2;0;334.733;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;135,16;0;0,00;135,16;0,00;0;0;MARIO ANTONIO NEGRELLO;PR0000019389D;MARIO ANTONIO NEGRELLO;PR0000019389D;;;;
91.084.027;50.0.0015.0116; 15/04/2015 ; 14/07/2015 ;;DAS ESMERALDAS;51;ABRANCHES;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;0;334.713;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";375,00;245,74;0;0,00;186,24;0,00;0;1;MARCELO HENRIQUE SERAFIM;PR0000108445D;MARCELO HENRIQUE SERAFIM;PR0000108445D;;;;
94.009.013;34.1.0088.0154; 15/04/2015 ; 14/07/2015 ; 27/11/2015 ;VALDOMIRO SILVEIRA;1.007;BOA VISTA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;4;0;334.725;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";495,00;309,47;0;0,00;309,47;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
98.071.005;55.0.0094.0654; 15/04/2015 ; 14/07/2015 ; 03/04/2019 ;DAS OLARIAS;550;ATUBA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;0;334.701;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";79.168,06;214,17;0;0,00;214,17;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
11.092.008;01.0.0032.0142; 15/05/2015 ; 13/08/2015 ;;DESEMBARGADOR ERMELINO DE LEÃO;181;CENTRO;ZC - ZONA CENTRAL;Unidade Regional Matriz;24;88;0;335.333;"COMÉRCIO E SERVIÇO SETORIAL; HABITAÇÃO COLETIVA";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";466,88;4.994,16;0;0,00;4.994,16;0,00;1;1;MAURO CESAR GRANDE MOREIRA;;JOSE FREGONEZI;PR0000006162D;POSEIDON CONSTRUCOES LTDA - EPP;;;
21.064.030;10.0.0069.0144; 15/05/2015 ; 13/08/2015 ; 20/05/2019 ;BENTO VIANA;1.141;BATEL;EE-4 - EIXO ESTRUTURAL CENTRO;Unidade Regional Matriz;18;16;0;335.325;HABITAÇÃO COLETIVA;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.048,87;7.710,89;0;0,00;7.710,89;0,00;1;2;MANUEL MARCOS BAGGIO PEREIRA;A0061611;JOAO CARLOS PERUSSOLO;PR0000006283D;CONSTRUTORA SAN REMO LTDA;;;
21.074.014;09.0.0097.0338; 15/05/2015 ; 13/08/2015 ;;BRIGADEIRO FRANCO;3.388;ÁGUA VERDE;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;0;0;1;335.317;COMÉRCIO E SERVIÇO SETORIAL;******;REFORMA SIMPLIFICADA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.375,09;0,00;0;0,00;0,00;400,00;0;0;;;;;;;;
26.027.012;21.0.0021.0470; 15/05/2015 ; 13/08/2015 ; 04/04/2017 ;IRMÃO LUIZ VICENTE;638;CAJURU;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Cajuru;2;7;0;335.307;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";882,00;853,89;0;0,00;853,89;0,00;0;0;RODRIGO SOUZA BIATO;PR0000095778D;RODRIGO SOUZA BIATO;PR0000095778D;;;;
31.055.008;02.0.0015.0304; 15/05/2015 ; 13/08/2015 ; 19/10/2016 ;NILO PEÇANHA;99;SÃO FRANCISCO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Matriz;2;0;1;335.327;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";789,25;275,59;0;0,00;275,59;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
42.036.008;25.0.0134.0142; 15/05/2015 ; 14/07/2015 ; 17/05/2016 ;PIAUÍ;1.086;PAROLIN;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;0;0;0;335.320;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";517,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
44.047.023;23.0.0069.0234; 15/05/2015 ; 13/08/2015 ;;GOVERNADOR JORGE LACERDA;657;GUABIROTUBA;SE-LV - SETOR ESPECIAL DA LINHA VERDE - 5 - S. CENTRAL-ADB2;Unidade Regional Cajuru;2;4;0;335.314;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";568,75;699,53;0;0,00;699,53;0,00;0;1;MELISSA VIEIRA SANTOS;PR0000070241D;MELISSA VIEIRA SANTOS;PR0000070241D;;;;
48.202.018;21.6.0070.0206; 15/05/2015 ; 14/07/2015 ; 25/05/2015 ;FÁBIO ROGER MENDES;60;CAJURU;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Cajuru;0;1;0;335.322;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";100,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
65.107.020;27.2.0017.0316; 15/05/2015 ; 13/08/2015 ;;JORGE BORSATTO;235;PORTÃO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;2;0;1;335.331;COMÉRCIO E SERVIÇO DE BAIRRO;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.006,95;604,66;0;0,00;517,80;0,00;0;1;JULIANO LUIZ ABRAHAO;PR0000096164D;JULIANO LUIZ ABRAHAO;PR0000096164D;ABRAHAO ENGENHARIA LTDA - ME;;;
66.157.021;23.0.0085.0322; 15/05/2015 ; 14/07/2015 ;;CAPITÃO JOÃO RIBAS DE OLIVEIRA;1.189;GUABIROTUBA;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 9 - S. CENTRAL-AIB2;Unidade Regional Cajuru;0;1;0;335.309;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.134,03;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
68.237.053;21.4.0033.0142; 15/05/2015 ; 13/08/2015 ;;PADRE ARNALDO JANSSEN;136;CAJURU;APA - SETOR DE TRANSIÇÃO - APA DO IGUAÇU;Unidade Regional Cajuru;1;1;0;335.311;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";360,00;101,50;0;0,00;101,50;0,00;0;0;ACIR NETZKA;;ACIR NETZKA;;;;;
81.004.002;27.0.0028.0404; 15/05/2015 ; 13/08/2015 ;;DA REPÚBLICA;7.579;PORTÃO;ECL3 - EIXO CONECTOR LESTE 3;Unidade Regional Portao;1;3;0;335.334;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";406,80;129,57;0;0,00;129,57;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
81.382.006;41.0.0025.0126; 15/05/2015 ; 13/08/2015 ;;OLAVO CHAGAS CORREIA;452;NOVO MUNDO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Pinheirinho;2;1;0;335.330;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";300,00;214,78;0;0,00;214,78;0,00;0;0;MARIZIA CLAUDIA DINIZ DE CASTRO;PR0000030880D;MARIZIA CLAUDIA DINIZ DE CASTRO;PR0000030880D;;;;
86.009.021;37.0.0086.0228; 15/05/2015 ; 13/08/2015 ; 25/05/2016 ;ALPHONSE DAUDET;255;UBERABA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;2;3;0;335.318;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";420,00;349,00;0;0,00;349,00;0,00;0;0;SEIJI MIKAMI;PR0000006596D;SEIJI MIKAMI;PR0000006596D;;;;
