INDFISCAL;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria;Área Vistoria
45.167.034;43.0.0158.0102; 13/07/2023 ; 11/10/2023 ;;PROFESSOR ULISSES VIEIRA;2.678;SANTA QUITÉRIA;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;1;1;;394.828;;******;CONSTRUÇÃO;;207,82;132,46;;0,00;132,46;0,00;0;0;LUIZ HENRIQUE ALVES DOS SANTOS;A2691914;MAICON RENATO KOCH;PR0000168132D;ENGKOCH ENGENHARIA E EMPREENDIMENTOS LTDA;408440;Total; 13/02/2025 ;132,46
65.029.018;27.2.0078.0064; 14/06/2023 ; 12/09/2023 ;;CEL PRETEXTATO PENNA FORTE T RIBAS;1.935;PORTÃO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;3;2;;394.143;;******;CONSTRUÇÃO;;326,40;302,90;;0,00;302,90;0,00;0;0;CLEITON JESUS EGIDIO FERREIRA;PR0000151763D;CLEITON JESUS EGIDIO FERREIRA;PR0000151763D;CONSTRUTORA FILDS LTDA;408445;Total; 13/02/2025 ;302,90
82.691.009;65.6.0070.0060; 24/05/2019 ; 22/08/2019 ;;PROFESSORA KLOLDI JANE ASSIS;830;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;0;361.740;;******;CONSTRUÇÃO;;160,00;166,00;0;0,00;166,00;0,00;0;0;CHIZUO JORGE WATANABE;PR0000021765D;FRANCISCO OTAVIO DA SILVEIRA VELHO;PR0000022549D;;408438;Total; 13/02/2025 ;166,00
84.818.007;72.0.0066.0122; 27/11/2024 ; 25/02/2025 ;;ANTÔNIO JOSÉ BONATO;537;GANCHINHO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;;406.697;;******;CONSTRUÇÃO;;160,00;121,04;;0,00;121,04;0,00;0;0;GABRIEL RIBAS;PR0000179544D;GABRIEL RIBAS;PR0000179544D;;408437;Total; 13/02/2025 ;121,04
35.038.001;47.1.0021.0602; 27/06/2024 ; 25/09/2024 ;;OLYMPIO TROMBINI;15;CASCATINHA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;1;17;;402.751;;******;CONSTRUÇÃO;;12.734,00;552,35;;0,00;42,35;0,00;0;0;KATI SALES FAGUNDES;A0305030;CASSIANO SOUZA ANDRADE;PR0000089545D;DRENAPAV CONSTRUTORA DE OBRAS LTDA;409037;Parcial; 13/03/2025 ;42,35
37.021.133;63.1.0004.0562; 20/12/2024 ; 20/03/2025 ;;CÂNDIDO HARTMANN;5.156;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;;407.439;;Conjunto Habitacional;AMPLIAÇÃO;;22.938,92;305,03;;0,00;20,63;0,00;0;0;CARLOS OLAVO BORIO;PR0000002340D;CARLOS OLAVO BORIO;PR0000002340D;GRANTEC TECNICA DE CONSTRUCAO LTDA;409041;Total; 13/03/2025 ;20,63
78.098.017;54.1.0026.0590; 18/12/2024 ; 18/03/2025 ;;JOÃO SEBASTIÃO BUNIK;53;TINGUI;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Boa Vista;2;1;;407.302;;Edícula;REFORMA E AMPLIAÇÃO;;486,00;306,93;;0,00;92,22;0,00;0;0;ANGELO ANTONIO GAGNO;PR20979D;ANGELO ANTONIO GAGNO;PR20979D;;409032;Total; 13/03/2025 ;92,22
82.079.026;56.0.0040.0378; 05/09/2018 ; 04/12/2018 ;;25 DE AGOSTO;331;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;0;356.800;;******;CONSTRUÇÃO;;477,94;468,10;0;0,00;468,10;0,00;0;1;MAURO EDSON SWAROFSKY;PR0000028366D;MAURO EDSON SWAROFSKY;PR0000028366D;;409028;Total; 13/03/2025 ;468,10
83.500.067;73.1.0002.1038; 25/10/2022 ; 23/01/2023 ;;VEREADOR ANGELO BURBELLO;2.497;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;1;;388.890;;Conjunto Habitacional;CONSTRUÇÃO;;5.877,30;98,90;;0,00;98,90;0,00;0;0;GUILHERME JOSE MOLETTA;PR0000123482D;GUILHERME JOSE MOLETTA;PR0000123482D;;409033;Total; 13/03/2025 ;98,90
83.690.009;65.0.0125.0258; 20/01/2025 ; 20/04/2025 ;;JOAQUIM GONZAGA PEREIRA;208;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;1;1;;407.837;;******;;;149,04;121,14;;0,00;92,07;0,00;0;0;FELIPI MORONI VERZA;PR0000193247D;FELIPI MORONI VERZA;PR0000193247D;;409029;Total; 13/03/2025 ;92,07
96.122.027;53.3.0003.0414; 22/05/2024 ; 20/08/2024 ;;SANTO RODRIGUES DE ALMEIDA;56;SANTA CÂNDIDA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;1;1;;401.795;;Edícula;CONSTRUÇÃO;;503,75;167,30;;0,00;167,30;0,00;0;0;ROMULO CORNELSEN TEIXEIRA;A0439010;ROMULO CORNELSEN TEIXEIRA;A0439010;RCORNELSEN ARQUITETURA E URBANISMO LTDA;409039;Total; 13/03/2025 ;167,30
11.123.032;01.0.0035.0148; 05/02/2025 ; 05/05/2025 ;;VOLUNTÁRIOS DA PÁTRIA;255;CENTRO;ZC - ZONA CENTRAL;Unidade Regional Matriz;0;0;0;408.264;;;REFORMA SIMPLIFICADA;;364,65;0,00;0;0,00;0,00;0,00;0;0;;;ANDRE ALEXANDRE FORT;A0215376;;410539;Total; 13/05/2025 ;0,00
57.060.007;63.0.0024.0174; 09/07/2021 ; 07/10/2021 ;;JOÃO JACOB MANFRON;71;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;;377.254;;******;CONSTRUÇÃO;;510,00;249,32;;0,00;249,32;0,00;0;0;ROBERTO BELUSSO;PR0000093867D;ROBERTO BELUSSO;PR0000093867D;;410525;Total; 13/05/2025 ;249,32
82.694.004;65.6.0059.0024; 03/05/2022 ; 01/08/2022 ;;DESEMBARGADOR CARLOS PINHEIRO GUIMARÃES;112;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;3;;384.638;;******;CONSTRUÇÃO;;285,83;376,96;;0,00;134,20;0,00;0;0;CRISTIANE SZWEC GONCALVES;PR0000062071D;CRISTIANE SZWEC GONCALVES;PR0000062071D;;410522;Parcial; 13/05/2025 ;134,20
83.460.001;41.0.0059.0030; 18/02/2025 ; 19/05/2025 ;;DR. JOSÉ PALÚ;801;NOVO MUNDO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Pinheirinho;2;4;;408.539;;******;CONSTRUÇÃO;;480,00;674,61;;0,00;223,77;0,00;0;0;NATHANA ZANATTO PINTO;A 0000123648PR;NATHANA ZANATTO PINTO;A 0000123648PR;;410505;Parcial; 13/05/2025 ;223,77
83.531.065;73.2.0012.0650; 04/08/2023 ; 02/11/2023 ;;BORTOLO PELANDA;601;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;;2;395.343;;******;CONSTRUÇÃO;;2.724,10;949,82;;0,00;949,82;0,00;0;0;BIANCA ELISA GABARDO;A1528955;BIANCA ELISA GABARDO;A1528955;;410504;Total; 13/05/2025 ;949,82
83.632.013;74.0.0046.0194; 07/08/2024 ; 05/11/2024 ;;GUILHERME SCROCCARO;38;TATUQUARA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Tatuquara;2;2;1;403.837;;******;;;200,00;187,86;;0,00;180,60;0,00;0;0;NELSON ROBERTO GAPSKI;PR0000013447D;NELSON ROBERTO GAPSKI;PR0000013447D;;410531;Total; 13/05/2025 ;180,60
85.646.004;74.7.0046.0056; 25/01/2024 ; 24/04/2024 ;;DJANIRA PAIVA;92;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;;399.051;;******;CONSTRUÇÃO;;127,89;68,68;;0,00;68,68;0,00;0;0;ROBINSON GUIMARAES FERREIRA DO AMARAL;A0391042;ROBINSON GUIMARAES FERREIRA DO AMARAL;A0391042;ROBINSON GUIMARAES FERREIRA DO AMARAL - ME;410530;Total; 13/05/2025 ;68,68
87.348.067;76.3.0001.2676; 17/05/2018 ; 15/08/2018 ;;PAUL GARFUNKEL;1.671;CIDADE INDUSTRIAL;ZI - ZONA INDUSTRIAL;Unidade Regional CIC;2;0;1;354.790;;******;CONSTRUÇÃO;;14.362,21;3.872,32;0;0,00;3.872,32;0,00;0;0;JAQUELINE DE LOURDES PIRES;A0520934;JAQUELINE DE LOURDES PIRES;A0520934;;410508;Total; 13/05/2025 ;3.872,32
96.081.075;53.3.0032.0686; 30/10/2008 ; 28/01/2009 ;;THEODORO MAKIOLKA;1.060;SANTA CÂNDIDA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;;282.191;;******;CONSTRUÇÃO;;42.030,00;380,84;0;0,00;380,84;0,00;;;LUCIANE MARCIA CORSICO DE ARAUJO;PR0000028135D;LUCIANE MARCIA CORSICO DE ARAUJO;PR0000028135D;;410506;Total; 13/05/2025 ;380,84
97.021.019;63.5.0003.0164; 13/04/2009 ; 13/07/2009 ;;BENJAMIN MION;20;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;4;0;285.480;;******;CONSTRUÇÃO;;524,00;239,51;0;0,00;154,91;0,00;0;0;SOELIO ANTONIO VENDRAMIN;PR0000072099D;SOELIO ANTONIO VENDRAMIN;PR0000072099D;;410524;Parcial; 13/05/2025 ;154,91
99.048.012;62.1.0003.0690; 28/02/2025 ; 29/05/2025 ;;JUSTO MANFRON;3.203;LAMENHA PEQUENA;ZOO - ZONA DE OCUPAÇÃO ORIENTADA - APA PASSAÚNA;Unidade Regional Santa Felicidade;2;1;;408.803;;Conjunto Habitacional;CONSTRUÇÃO;;66.695,82;689,30;;0,00;689,30;0,00;0;0;CAROLINE BRANDAO ANDRUSKO HYCZY;A0439266;CASSIANO MURILO COSTA GARCIA;PR0000070087D;MONREAL CONSTRUÇÕES CIVIS E INCORPORAÇÕES LTDA;410526;Total; 13/05/2025 ;689,30
12.040.020;01.1.0044.0164; 01/11/2022 ; 30/01/2023 ;;MARECHAL DEODORO;791;CENTRO;ZC - ZONA CENTRAL;Unidade Regional Matriz;3;;1;389.094;;******;REFORMA E AMPLIAÇÃO;;246,12;492,50;;0,00;269,20;63,61;0;0;MARCELO OLIVEIRA ESTURILHO;PR0000102479D;MARCELO OLIVEIRA ESTURILHO;PR0000102479D;;411369;Total; 13/06/2025 ;269,20
14.109.023;06.0.0029.0088; 25/04/2025 ; 24/07/2025 ;;PRESIDENTE BEAUREPAIRE ROHAN;213;CRISTO REI;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Matriz;8;42;;410.142;;******;CONSTRUÇÃO;;1.332,36;6.059,70;;0,00;6.059,70;0,00;0;0;MAURO CESAR GRANDE MOREIRA;A0741213;WAYNER YUITI HASE;A0173312;FHASE INCORPORACOES LTDA;411373;Total; 13/06/2025 ;6.059,70
31.111.024;13.0.0074.0404; 12/12/2023 ; 11/03/2024 ;;CORONEL JOÃO GUILHERME GUIMARÃES;908;BOM RETIRO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Matriz;2;2;;398.278;;******;CONSTRUÇÃO;;371,00;403,54;;0,00;403,54;0,00;0;0;JAIME AMARO DE LIMA;A0270970;ITAMAR JOSE ZAMPIERI;PR0000026283D;CONCRETAMA CONSTRUCOES E EMPREENDIMENTOS LTDA - ME;411376;Total; 13/06/2025 ;403,54
55.005.020;47.1.0008.0358; 11/03/2025 ; 09/06/2025 ;;JUVENAL DOS SANTOS;88;CASCATINHA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;3;;408.950;;******;CONSTRUÇÃO;;1.940,00;1.011,85;;0,00;1.011,85;0,00;0;0;CECILIA MARIA PAULA DE OLIVEIRA;A0439169;CECILIA MARIA PAULA DE OLIVEIRA;A0439169;;411374;Total; 13/06/2025 ;1.011,85
59.112.046;63.2.0039.0526; 17/12/2024 ; 17/03/2025 ;;ACELINO GRANDE;732;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;1;1;;407.261;;Conjunto Habitacional;CONSTRUÇÃO;;30.607,50;207,31;;0,00;207,31;0,00;0;0;LEONARDO MASSIGNAN BENATO;PR0000101438D;LEONARDO MASSIGNAN BENATO;PR0000101438D;CASTEVAL CONSTRUCAO E INCORPORACAO LTDA;411372;Total; 13/06/2025 ;207,31
84.260.124;56.6.0057.2130; 17/04/2023 ; 16/07/2023 ;;HYRON HOMERO DAMASCENO CASSOU;120;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;;392.821;;Conjunto Habitacional;CONSTRUÇÃO;;27.940,00;376,65;;0,00;376,65;0,00;0;0;JOAO MARCELO ALVES DE MATOS BASSANI;A1319310;ARNHOLD THIESSEN;PR0000026233D;;411375;Total; 13/06/2025 ;376,65
13.113.050;12.1.0061.0464; 29/05/2024 ; 27/08/2024 ;;PADRE AGOSTINHO;1.168;MERCÊS;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Matriz;2;2;;402.020;;******;CONSTRUÇÃO;;420,00;391,29;;0,00;391,29;0,00;0;0;VITORIO OSCAR CAMARANI PENTEADO;PR0000017414D;VITORIO OSCAR CAMARANI PENTEADO;PR0000017414D;;407700;Total; 14/01/2025 ;391,29
23.018.016;11.1.0080.0256; 21/06/2023 ; 19/09/2023 ;;CORONEL JOAQUIM IGNÁCIO TABORDA RIBAS;182;BIGORRILHO;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Matriz;2;1;;394.319;;******;CONSTRUÇÃO;;323,00;215,40;;0,00;215,40;0,00;0;0;ANDERSON TOMEN FRANCA;A0602990;ANDERSON TOMEN FRANCA;A0602990;;407699;Total; 14/01/2025 ;215,40
28.218.023;21.1.0044.0188; 25/07/2024 ; 23/10/2024 ;;DANTE MELARA;373;CAJURU;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Cajuru;2;1;;403.413;;******;CONSTRUÇÃO;;187,50;127,25;;0,00;127,25;0,00;0;0;EZEQUIEL FERNANDES ALVES;PR0000030305D;EZEQUIEL FERNANDES ALVES;PR0000030305D;;407712;Total; 14/01/2025 ;127,25
81.514.102;73.4.0002.1028; 07/02/2024 ; 07/05/2024 ;;PROFESSORA VALDOMIRA ZORTÉA;350;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;1;1;;399.345;;Conjunto Habitacional;CONSTRUÇÃO;;11.083,31;78,54;;0,00;78,54;0,00;0;0;ALESSANDRA HAMMERSCHMIDT;PR194242D;ALESSANDRA HAMMERSCHMIDT;PR194242D;COLACO ARQUITETURA E ENGENHARIA LTDA;407714;Total; 14/01/2025 ;78,54
82.917.012;73.4.0085.0212; 27/07/2023 ; 26/10/2023 ;;PROFESSOR LOURIVAL GALLIERI;262;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;3;;395.118;;******;CONSTRUÇÃO;;232,14;255,24;;0,00;255,24;0,00;0;0;WANDERSON ALMEIDA FERREIRA;A0319031;WANDERSON ALMEIDA FERREIRA;A0319031;;407710;Total; 14/01/2025 ;255,24
87.366.025;71.7.0101.0692; 31/05/2022 ; 29/08/2022 ;;MURILLO SZABO;153;CAMPO DE SANTANA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Tatuquara;2;1;;385.365;;Conjunto Habitacional;;;2.794,51;112,26;;0,00;73,62;0,00;0;0;LUCAS TEIXEIRA DIAS;PR0000167146D;LUCAS TEIXEIRA DIAS;PR0000167146D;;407704;Total; 14/01/2025 ;73,62
87.534.049;71.7.0012.0150; 07/10/2024 ; 05/01/2025 ;;JOSÉ BERTOLDI;314;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;;405.391;;******;;;140,00;70,35;;0,00;70,35;0,00;0;0;MICHEL RODRIGUES TEIXEIRA;A1281488;MICHEL RODRIGUES TEIXEIRA;A1281488;;407703;Total; 14/01/2025 ;70,35
87.537.039;71.7.0015.0330; 27/08/2024 ; 25/11/2024 ;;RUY FRANCISCO PEDRA;194;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;;404.339;;******;CONSTRUÇÃO;;140,00;83,00;;0,00;83,00;0,00;0;0;TALISSA CUSTODIO GARCIA;A2503476;TALISSA CUSTODIO GARCIA;A2503476;;407694;Total; 14/01/2025 ;83,00
87.642.045;71.7.0049.0434; 02/09/2024 ; 01/12/2024 ;;VINICIOS JOSÉ BÓRIO JUNIOR;310;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;;404.491;;******;CONSTRUÇÃO;;160,00;93,40;;0,00;93,40;0,00;0;0;MARIO ANTONIO NEGRELLO;PR0000019389D;MARIO ANTONIO NEGRELLO;PR0000019389D;;407698;Total; 14/01/2025 ;93,40
87.727.013;71.0.0032.0344; 14/10/2024 ; 12/01/2025 ;;BENEDITO GOMES DOS REIS;95;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;;405.550;;******;;;140,00;129,50;;0,00;107,10;0,00;0;0;MICHEL RODRIGUES TEIXEIRA;A1281488;MICHEL RODRIGUES TEIXEIRA;A1281488;;407705;Total; 14/01/2025 ;107,10
89.806.034;76.4.0083.0132; 20/06/2024 ; 18/09/2024 ;;WALTER JOSÉ WUNDERLICH JÚNIOR;768;CIDADE INDUSTRIAL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;2;;402.540;;******;CONSTRUÇÃO;;160,00;164,80;;0,00;164,80;0,00;0;0;FRANCISCO ODAVAL GONCALVES;A0006025;FRANCISCO ODAVAL GONCALVES;A0006025;;407708;Total; 14/01/2025 ;164,80
89.939.001;74.7.0021.0294; 14/10/2024 ; 12/01/2025 ;;EUGENIO GERALDO ZEGLIN;241;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;;405.556;;******;CONSTRUÇÃO;;128,28;76,76;;0,00;76,76;0,00;0;0;GABRIEL RIBAS;PR0000179544D;GABRIEL RIBAS;PR0000179544D;;407691;Total; 14/01/2025 ;76,76
59.120.013;63.2.0036.0414; 20/07/2010 ; 18/10/2010 ;;BRESCIA;20;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;3;0;296.069;;"******; Edícula / Dependência";CONSTRUÇÃO;;1.032,00;559,41;0;0,00;559,41;0,00;0;0;TALITHA LUIZA FRANCESQUINI BUDEL;PR0000060498D;ANDRE BUDEL;PR0000061031D;;408469;Total; 14/02/2025 ;559,41
78.118.024;54.1.0010.0442; 01/06/2022 ; 30/08/2022 ;;ANTONIO MUZZILLO;111;TINGUI;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Boa Vista;2;10;;385.407;;******;CONSTRUÇÃO;;1.260,00;1.560,96;;0,00;225,31;0,00;0;0;ELLEN EMI MAKISHI SCHLENKER;A0154121;BRUNA OLSEN ELIAS;PR0000173128D;;408456;Parcial; 14/02/2025 ;225,31
81.612.010;57.4.0114.0390; 05/09/2024 ; 04/12/2024 ;;EURICO FONSECA DOS SANTOS;449;XAXIM;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Boqueirao;2;1;;404.605;;"******; Edícula";REFORMA E AMPLIAÇÃO;;383,40;367,65;;0,00;270,44;0,00;0;0;NATACHA CASTRO DE JESUS;A0427993;NATACHA CASTRO DE JESUS;A0427993;;408464;Total; 14/02/2025 ;270,44
82.176.467;57.4.0024.0166; 19/10/2023 ; 17/01/2024 ;;PROFESSOR NARCISO MENDES;512;XAXIM;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Boqueirao;2;1;;397.078;;Conjunto Habitacional;CONSTRUÇÃO;;77.163,11;215,75;;0,00;215,75;0,00;0;0;MATEUS VICENTE MOLETTA;PR0000195354D;MATEUS VICENTE MOLETTA;PR0000195354D;;408468;Total; 14/02/2025 ;215,75
82.827.015;73.4.0074.0120; 16/08/2011 ; 14/11/2011 ;;HELENA GRODZKI;710;UMBARÁ;ZS2 - ZONA DE SERVIÇOS 2;Unidade Regional Bairro Novo;2;;1;305.073;;******;CONSTRUÇÃO;;540,00;390,00;0;0,00;390,00;0,00;0;1;CRISTIANE PEIXER;PR0000075942D;FERNANDA GRILLO;PR0000146167D;;408462;Total; 14/02/2025 ;390,00
84.533.027;65.4.0076.0192; 21/05/2024 ; 19/08/2024 ;;ZILDA MARIA ABBAGE;11;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;;401.757;;"******; Edícula";;;266,50;212,96;;0,00;212,96;0,00;0;0;DAMARIS FERREIRA CAMPOS RAMPAZZO;PR182345D;DAMARIS FERREIRA CAMPOS RAMPAZZO;PR182345D;;408452;Total; 14/02/2025 ;212,96
84.562.017;65.3.0074.0052; 04/12/2023 ; 03/03/2024 ;;AGENOR ANTONIO RODRIGUES;1.094;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;1;;398.041;;******;;;248,77;203,08;;0,00;203,08;0,00;0;0;NOBUO ENOMOTO;A0031305;NOBUO ENOMOTO;A0031305;;408466;Total; 14/02/2025 ;203,08
98.062.014;53.5.0031.0898; 15/12/2023 ; 14/03/2024 ;;DE SANTA CÂNDIDA;1.324;SANTA CÂNDIDA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;87;;398.408;;Conjunto Habitacional;CONSTRUÇÃO;;15.925,00;2.168,48;;0,00;428,48;0,00;0;0;UBIRAITA ANTONIO DRESCH;PR0000022219D;UBIRAITA ANTONIO DRESCH;PR0000022219D;;408460;Parcial; 14/02/2025 ;428,48
12.011.038;01.1.0017.0408; 07/03/2025 ; 30/07/1951 ;;CONSELHEIRO ARAÚJO;342;CENTRO;ZR4 - ZONA RESIDENCIAL 4 - INCENTIVO ALTO DA XV;Unidade Regional Matriz;3;1;0;408.895;;******;CONSTRUÇÃO;;403,00;850,00;0;0,00;850,00;0,00;0;0;;;;;;409081;Total; 14/03/2025 ;850,00
51.019.008;13.0.0069.0146; 05/08/2022 ; 03/11/2022 ;;GIACOMO MYLLA;352;BOM RETIRO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Matriz;2;4;;386.858;;Conjunto Habitacional;CONSTRUÇÃO;;660,00;518,00;;0,00;518,00;0,00;0;0;GUILHERME HENRIQUE BONOLDI DE LARA;A1161237;JOAO VICTOR ALVES DOS SANTOS;PR0000152722D;;409061;Total; 14/03/2025 ;518,00
81.016.021;40.0.0019.0320; 06/06/2012 ; 04/09/2012 ;;LEON TOLSTOI;1.090;LINDÓIA;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Pinheirinho;2;5;0;311.502;;******;CONSTRUÇÃO;;696,00;656,57;0;0,00;174,84;0,00;0;0;SANDRO RAFAEL DA COSTA;;SANDRO RAFAEL DA COSTA;;;409066;Parcial; 14/03/2025 ;174,84
82.198.030;73.4.0004.0770; 10/02/2022 ; 11/05/2022 ;;DO GANCHINHO- LD;2.530;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;1;;382.792;;Conjunto Habitacional;CONSTRUÇÃO;;28.860,50;154,07;;0,00;154,07;0,00;0;0;HELOISE BERNADETE CECATTO;A1366548;GIOVANNA TAHAN;PR0000148630D;;409074;Total; 14/03/2025 ;154,07
82.911.008;73.4.0090.0014; 28/07/2022 ; 26/10/2022 ;;JOSÉ MARQUES DA CUNHA;367;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;2;;386.621;;******;CONSTRUÇÃO;;140,00;145,64;;0,00;145,64;0,00;0;0;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;;409050;Total; 14/03/2025 ;145,64
82.941.004;73.4.0109.0216; 11/04/2024 ; 10/07/2024 ;;EDUARDO PINTO DA ROCHA;5.924;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;;1;400.725;;******;CONSTRUÇÃO;;360,00;196,04;;0,00;196,04;0,00;0;0;NELSON MANOEL DO NASCIMENTO JUNIOR;PR0000103116D;NELSON MANOEL DO NASCIMENTO JUNIOR;PR0000103116D;;409051;Total; 14/03/2025 ;196,04
83.742.018;65.1.0127.0386; 07/06/2023 ; 15/07/2023 ; 15/07/2025 ;FRANCISCO JOSÉ LOBO;928;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;1;1;0;394.045;;******;MORADIA POPULAR;;150,87;66,45;0;0,00;66,45;0,00;0;0;;;;;;409075;Total; 14/03/2025 ;66,45
87.625.042;71.6.0108.0390; 26/02/2024 ; 27/05/2024 ;;ROGÉRIO ZARA DO AMARAL;382;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;2;;399.660;;******;CONSTRUÇÃO;;160,00;135,20;;0,00;135,20;0,00;0;0;GILBERTO FIGUEIREDO DE OLIVEIRA;A0588873;GILBERTO FIGUEIREDO DE OLIVEIRA;A0588873;;409073;Total; 14/03/2025 ;135,20
87.658.008;71.7.0063.0222; 20/06/2023 ; 18/09/2023 ;;MAJOR ARNOLDO MAYER;144;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;7;;394.287;;******;CONSTRUÇÃO;;892,99;298,00;;0,00;298,00;0,00;0;0;GABRIEL RIBAS;PR0000179544D;GABRIEL RIBAS;PR0000179544D;;409070;Total; 14/03/2025 ;298,00
